suit,part,full_name,hp_bonus,price_gold
Viper,Head,Viper Head,350,3000
Viper,Chest,Viper Chest,400,4700
Viper,Hands,Viper Hands,200,3000
Viper,Legs,Viper Legs,250,2400
Fortune,Head,Fortune Head,450,20000
Fortune,Chest,Fortune Chest,900,27000
Fortune,Hands,Fortune Hands,300,24000
Fortune,Legs,Fortune Legs,450,16000
Tank,Head,Tank Head,1000,80000
Tank,Chest,Tank Chest,2300,160000
Tank,Hands,Tank Hands,900,85000
Tank,Legs,Tank Legs,750,75000
Hydra,Head,Hydra Head,650,95000
Hydra,Chest,Hydra Chest,1800,145000
Hydra,Hands,Hydra Hands,800,100000
Hydra,Legs,Hydra Legs,600,60000
Strike,Head,Strike Head,2000,200000
Strike,Chest,Strike Chest,3300,340000
Strike,Hands,Strike Hands,1600,230000
Strike,Legs,Strike Legs,1900,250000
Titan,Head,Titan Head,2600,270000
Titan,Chest,Titan Chest,5000,400000
Titan,Hands,Titan Hands,2200,240000
Titan,Legs,Titan Legs,2400,200000
Thunder,Head,Thunder Head,4000,670000
Thunder,Chest,Thunder Chest,7500,980000
Thunder,Hands,Thunder Hands,4000,700000
Thunder,Legs,Thunder Legs,4500,550000
Atom,Head,Atom Head,7000,800000
Atom,Chest,Atom Chest,11000,1200000
Atom,Hands,Atom Hands,5000,650000
Atom,Legs,Atom Legs,4000,450000
Pegasus,Head,Pegasus Head,10000,1500000
Pegasus,Chest,Pegasus Chest,16000,2500000
Pegasus,Hands,Pegasus Hands,8000,1300000
Pegasus,Legs,Pegasus Legs,9000,1400000
Draco,Head,Draco Head,12000,1700000
Draco,Chest,Draco Chest,13000,2300000
Draco,Hands,Draco Hands,7500,1500000
Draco,Legs,Draco Legs,6500,1200000
Phoenix,Head,Phoenix Head,13000,2200000
Phoenix,Chest,Phoenix Chest,18000,3000000
Phoenix,Hands,Phoenix Hands,9500,2000000
Phoenix,Legs,Phoenix Legs,8500,2000000
Cygni,Head,Cygni Head,14000,2000000
Cygni,Chest,Cygni Chest,15000,2500000
Cygni,Hands,Cygni Hands,10000,2200000
Cygni,Legs,Cygni Legs,11000,2500000
Andromedae,Head,Andromedae Head,13000,2100000
Andromedae,Chest,Andromedae Chest,20000,3500000
Andromedae,Hands,Andromedae Hands,11000,2400000
Andromedae,Legs,Andromedae Legs,15000,2700000
Perseus,Head,Perseus Head,12000,1800000
Perseus,Chest,Perseus Chest,18000,3000000
Perseus,Hands,Perseus Hands,14000,2000000
Perseus,Legs,Perseus Legs,12000,2200000
Chaos,Head,Chaos Head,12000,2200000
Chaos,Chest,Chaos Chest,16000,3300000
Chaos,Hands,Chaos Hands,10000,1800000
Chaos,Legs,Chaos Legs,12000,2200000
DEC.24,Head,DEC.24 Head,14000,3300000
DEC.24,Chest,DEC.24 Chest,15000,1800000
DEC.24,Hands,DEC.24 Hands,10000,1900000
DEC.24,Legs,DEC.24 Legs,11000,2800000
