name_zh,name_en,hp,exp,score
工虫,Worker Bug,45,10,90
高速虫,Fast Bug,60,25,250
蝎尾虫,Scorpion Bug,35,15,160
自爆虫,Suicide Bug,25,20,130
大型甲虫,Large Beetle,1000,150,1500
金甲虫,Golden Beetle,300,60,450
飞行虫,Flying Bug,40,25,280
轮胎虫,Wheel Bug,35,35,400
巨甲虫,Giant Beetle (Boss),20000,25000,199999
飞天螳螂,Flying Mantis (Boss),40000,10000,111111
孪生螳螂哥,Twin Mantis Brother (Boss),20000,120000,444444
孪生螳螂弟,Twin Mantis Sister (Boss),20000,0,0
蠕虫,Worm (Boss),80000,150000,599999
圣诞机器,Christmas Robot (Boss),90000,170000,639999
龙,Alien Dragon (Boss),80000,60000,299999
