name,damage,clip_capacity,req_level,price_gold
FR28a,20,24,5,15000
MA72,30,23,7,25000
MS06,36,20,8,40000
FR43C,48,23,11,70000
FL334AR,68,25,14,150000
TB10-LW,100,24,18,280000
TSG-03,90,85,18,20000
SD58,130,95,22,45000
WD03S,170,75,26,85000
S92M,260,105,32,150000
T740,320,90,50,260000
RPG-21,250,140,120,300000
RPG-24,450,170,220,1100000
RPG-31,750,120,350,3500000
Vox-07,80,50,20,150000
M347,192,45,50,600000
Ge09x,220,45,60,950000
LG002B,50,30,22,85000
M2456s,90,30,30,320000
NOVA27,140,25,45,750000
Plasma Neo,90,35,35,400000
Laser Cannon,300,20,100,4000000
Light Bow,100,50,40,300000
Energy Glove,250,50,60,2300000
MCP76,120,20,15,400000
M-27B1,200,17,40,1400000
LIT07,190,28,65,1350000
Cutter,60,30,0,25000
Passer,200,30,0,450000
Trinity,150,65,130,2500000
BLACK STARS,240,180,280,2700000
Crab,200,30,90,3600000
Morpheus,800,100,100,2200000
WINDBLADE,250,30,0,800000
R100-RAILGUN,1000,150,120,2000000
R700-AA,1400,140,150,2500000
WHITE DRILL,180,50,45,160000
BLACK DISK,760,150,280,2200000
XMAX-TREE,176,20,16,2800000
M-Z7B2,275,17,80,4400000
AST-KK,150,15,55,1800000
J.O.K.E,270,40,120,4200000
Spring,30,60,180,1600000
Reflection,1200,150,220,2700000
TheArrow,210,50,200,2200000
U.F.O,300,150,330,4200000
Spreader,850,100,100,3300000
